AIR_OP_EXPENSE,FL_ATT_EXPENSE,FOOD_EXPENSE,OTH_IN_FL_EXPENSE,PAX_SVC_EXPENSE,LINE_SVC_EXPENSE,CONTROL_EXPENSE,LANDING_FEES,AIR_SVC_EXPENSE,TRAFFIC_EXP_PAX,TRAFFIC_EXP_CARGO,TRAFFIC_EXP_OTH,TRAFFIC_EXPENSE,RES_EXP_PAX,RES_EXP_CARGO,RES_EXP_OTH,RES_EXPENSE,AD_EXP_PAX,AD_EXP_CARGO,AD_EXP_INST,AD_EXPENSE,ADMIN_EXPENSE,DEPR_EXP_MAINT,AMORTIZATION,TRANSPORT_EXP,TOTAL_OP_EXPENSE,MAINT_PROP_EQUIP,DEPR_PROP_EQUIP,MAINT_DEPR,SVC_SALES_OP_EXP,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
1251286.00,152999.00,87404.00,30076.00,270479.00,147213.00,50691.00,57342.00,255246.00,170035.00,11636.00,0.00,181671.00,164456.00,6984.00,0.00,171440.00,52543.00,67.00,0.00,52610.00,315388.00,342.00,14481.00,42704.00,2585773.00,16224.00,13902.00,30126.00,1291783.00,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10261,A,3,3,2024,2
1340329.78,128813.99,65788.38,9771.33,204373.70,33863.20,24291.31,58361.28,116515.79,52180.48,101563.67,22212.89,175957.04,27646.01,0.00,75919.19,103565.19,0.00,0.00,6145.07,6145.07,300918.14,0.00,396.75,7868.12,2287117.24,9461.86,21585.81,31047.67,938919.34,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,10049,A,3,3,2024,2
1349010.00,189481.00,100307.00,57067.00,346855.00,181595.00,60179.00,67169.00,308943.00,209369.00,14973.00,0.00,224342.00,179793.00,7627.00,0.00,187420.00,68342.00,15.00,0.00,68357.00,306677.00,376.00,13887.00,44962.00,2889186.00,18283.00,20074.00,38357.00,1495214.00,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10261,A,3,3,2024,3
1360384.00,,,,,13405.00,14527.00,44262.00,72194.00,,350180.00,,350180.00,,7177.00,,7177.00,,9581.00,,9581.00,438977.00,36020.00,1.00,2661902.00,5049076.00,90103.00,22557.00,112660.00,1026790.00,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,06200,D,3,3,2024,1
1392281.19,133816.67,70957.02,13081.59,217855.27,35765.74,26166.41,58625.17,120557.32,56485.78,113695.38,23821.10,194002.25,32907.00,0.00,77631.77,110538.76,0.00,0.00,7786.32,7786.32,452598.96,0.00,418.05,7988.37,2537417.26,10595.21,22795.58,33390.79,1137147.70,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,10049,A,3,3,2024,3
1440451.00,,,,,13342.00,13971.00,47745.00,75058.00,,344366.00,,344366.00,,6921.00,,6921.00,,8444.00,,8444.00,485599.00,41129.00,1.00,5228840.00,7742750.00,85913.00,26028.00,111941.00,1073459.00,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,06200,D,3,3,2024,2
1522138.64,160468.27,117155.03,35034.79,312658.09,35134.76,89200.02,52858.27,177193.05,77744.75,115175.55,,192920.31,53149.44,1948.88,117805.60,172903.92,14141.07,,,14141.07,221523.90,18.03,2954.13,48064.68,2712078.80,16323.47,31239.51,47562.99,1141875.48,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10874,A,3,3,2024,2
1634661.43,175391.27,134367.87,40873.30,350632.44,38919.14,79141.37,60322.41,178382.91,95178.55,142387.03,,237565.58,46799.09,2118.32,114166.01,163083.42,15167.87,,,15167.87,252434.93,47.69,7735.96,48501.76,2939191.18,17532.43,33444.77,50977.19,1256027.99,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10874,A,3,3,2024,3
3322270.22,306444.48,170583.93,70706.11,547734.51,220919.74,108594.25,237601.73,567115.72,398434.02,631658.80,,1030092.82,117637.65,-5.81,254999.62,372631.45,36388.53,,,36388.53,664049.14,,15814.62,1138731.02,7826993.01,42542.66,89622.30,132164.96,3365991.76,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,0A875,D,3,3,2024,3
3339735.97,297358.08,162824.22,63936.39,524118.70,213066.81,101851.64,223087.20,538005.66,397802.41,630997.40,,1028799.81,128101.91,-61.30,282459.25,410499.86,35231.76,,,35231.76,584797.21,,6296.60,1107883.46,7704711.58,41640.97,87701.58,129342.55,3257092.14,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,0A875,D,3,3,2024,2
3367488.38,300669.97,146894.12,67252.08,514816.17,220469.85,105501.40,205258.86,531230.10,392786.04,623624.98,,1016411.02,98649.90,-37.27,236187.02,334799.64,45709.30,,,45709.30,532157.75,,5601.44,1039975.25,7517270.92,44389.42,84692.43,129081.86,3109807.28,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,0A875,D,3,3,2024,1
3545347.00,537427.00,18867.00,10413.00,566707.00,644440.00,23259.00,186046.00,853745.00,379793.00,15199.00,24837.00,419829.00,227092.00,3054.00,4798.00,234944.00,130470.00,484.00,0.00,130954.00,684272.00,904.00,4106.00,34010.00,6648095.00,57880.00,115397.00,173277.00,3068738.00,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,06725,D,3,3,2024,3
3579223.00,489513.00,15801.00,8488.00,513802.00,624701.00,26620.00,165673.00,816994.00,371465.00,14731.00,28626.00,414822.00,218100.00,3181.00,3584.00,224865.00,178112.00,334.00,0.00,178446.00,577304.00,971.00,3483.00,32917.00,6503009.00,54330.00,105852.00,160182.00,2890869.00,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,06725,D,3,3,2024,1
3690829.00,500713.00,19035.00,10321.00,530069.00,633957.00,24209.00,185318.00,843484.00,385047.00,14975.00,25748.00,425770.00,240513.00,3228.00,4747.00,248488.00,133260.00,567.00,0.00,133827.00,658456.00,914.00,3485.00,35206.00,6732858.00,58187.00,104143.00,162330.00,3006823.00,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,06725,D,3,3,2024,2
3757700.00,463447.00,259895.00,92469.00,815811.00,497061.00,162192.00,162837.00,822090.00,600413.00,38048.00,0.00,638461.00,479080.00,19839.00,0.00,498919.00,156981.00,109.00,0.00,157090.00,685781.00,1487.00,62915.00,2068818.00,9654939.00,78898.00,66969.00,145867.00,3828421.00,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,01260,D,3,3,2024,1
3903355.00,511781.00,270925.00,154137.00,936843.00,490482.00,162541.00,181421.00,834444.00,565497.00,40440.00,0.00,605937.00,485613.00,20600.00,0.00,506213.00,184590.00,41.00,0.00,184631.00,828322.00,1513.00,55885.00,1988240.00,9985826.00,59661.00,80782.00,140443.00,4094231.00,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,01260,D,3,3,2024,3
3935563.00,481787.00,275233.00,94709.00,851729.00,463568.00,159623.00,180568.00,803759.00,535433.00,36640.00,0.00,572073.00,517867.00,21993.00,0.00,539860.00,165455.00,211.00,0.00,165666.00,993146.00,1500.00,63561.00,2194266.00,10241983.00,59841.00,61019.00,120860.00,4112154.00,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,01260,D,3,3,2024,2
3947763.41,394412.85,209129.83,38456.40,641999.08,105432.98,77090.35,172582.34,355105.67,166447.71,335182.12,70219.92,571849.75,96802.92,0.00,228823.30,325626.22,0.00,0.00,22971.92,22971.92,1349523.65,0.00,1233.75,1813575.23,9128202.11,31248.85,67304.58,98553.43,3366863.47,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,0A050,D,3,3,2024,3
3971879.10,376266.42,182006.47,24946.38,583219.27,104623.50,70924.24,157206.67,332754.40,157498.69,316087.81,68873.81,542460.31,77835.17,0.00,214325.41,292160.59,0.00,0.00,18489.71,18489.71,1001360.50,0.00,1309.30,1726616.30,8573961.23,36507.71,67204.04,103711.75,2875465.83,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,0A050,D,3,3,2024,1
3999865.03,397143.71,203157.99,29967.98,630269.67,104734.62,75042.71,179499.28,359276.61,161220.69,313949.97,68710.99,543881.66,85680.86,0.00,233991.49,319672.35,0.00,0.00,18850.37,18850.37,936218.37,0.00,1227.65,1824856.22,8730136.57,29260.74,66757.90,96018.64,2905415.32,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,0A050,D,3,3,2024,2
